reviews,score,hotel,date,country,room,title,travellerType
mein Zimmer wurde nicht gereinigt!,0.5,Marina Bay Sands Hotel,2022,Switzerland,Deluxe Twin City View Room,Todesfall,Family
"The location, Staff were very nice",1.5,Marina Bay Sands Hotel,2020,Singapore,,"Having a hotel industry background, the check in experience was not a hotel/resort standard.",Family
Check in process - the worst I have every experienced,1.5,Marina Bay Sands Hotel,2020,Singapore,,"Having a hotel industry background, the check in experience was not a hotel/resort standard.",Family
The downside outweigh better sides,0.5,Marina Bay Sands Hotel,2020,Singapore,,Bad,Family
Look nice,1.5,Marina Bay Sands Hotel,2020,Singapore,,Poor,Family
The spa area is very large and nice for pictures,1.5,Marina Bay Sands Hotel,2020,Chile,,Casino resort more than a luxury hotel - absolutely not worth the price,Solo traveler
The pool was cool. The light and water show was nice to see.,1.25,Marina Bay Sands Hotel,2019,United States of America,,Very Poor,Couple
The view.,0.5,Marina Bay Sands Hotel,2019,Malaysia,,Not worth the money,Couple
Need to wait too long for the lift.,0.5,Marina Bay Sands Hotel,2019,Malaysia,,Not worth the money,Couple
The Staff! Especially the house-keeping and Bell Bellboys.,0.5,Marina Bay Sands Hotel,2019,India,Premier King,Infinitely Awesome!,Couple
"The view.
The view.
The view.",1.0,Marina Bay Sands Hotel,2019,Malaysia,Deluxe King Harbor View Room,Really dissapointed,Family
The location,1.9,Marina Bay Sands Hotel,2019,Philippines,Deluxe King,The staff is unfriendly and impolite,Couple
Everything except the location,1.9,Marina Bay Sands Hotel,2019,Philippines,Deluxe King,The staff is unfriendly and impolite,Couple
The pool view is nice but good luck getting service like drinks or food.,0.5,Marina Bay Sands Hotel,2019,Singapore,Deluxe King Room - Lower Floor (3 People),"Overrated, overpriced and unfriendly",Family
Just the location and the view from the hotel,1.5,Marina Bay Sands Hotel,2020,United States of America,Deluxe King Garden View Room,I pay for the pool view!!!,Couple
Pool looked beautiful,0.5,Marina Bay Sands Hotel,2020,Australia,Deluxe King Garden View Room,Bad,Family
"On my bucket list was to stay in this hotel, and yes its an engineering marvel. I asked for a room on a higher floor but didn't get it. The manager actually phoned me up which was a nice surprise.",1.0,Marina Bay Sands Hotel,2020,New Zealand,Premier Twin Garden View Room (3 People),Recommend a visit but not to stay.,Family
"1. Location
2. Best view",0.5,Marina Bay Sands Hotel,2020,Singapore,Deluxe King City View Room,Not worth of your cash,Family
it was just ok,1.5,Marina Bay Sands Hotel,2022,Australia,Premier Twin,ordinary,Couple
that we arrived at the hotel and they lost my duty free shopping - never to be found,1.5,Marina Bay Sands Hotel,2022,Australia,Premier Twin,ordinary,Couple
everyone was friendly,0.5,Marina Bay Sands Hotel,2022,Australia,Deluxe King Harbor View Room,very disappointed,Couple
Room was upgraded to higher level,1.5,Marina Bay Sands Hotel,2021,Singapore,Deluxe King,Poor,Family
"cleanliness: we had a lizard in cabinet, picture available on request",1.5,Marina Bay Sands Hotel,2022,Singapore,Deluxe King Harbor View Room,Poor,Couple
"check in late,check out early",0.5,Marina Bay Sands Hotel,2022,Singapore,Deluxe King City View Room,suck,Couple
The location was good. The connectivity was good.,0.5,Marina Bay Sands Hotel,2022,India,Deluxe Twin,Too much hype but no value for money,Family
Good amenities.,1.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe Twin Garden View Room,Did not live up to expectations,Group
The swimming pool,1.5,Marina Bay Sands Hotel,2022,Spain,Deluxe King Garden View Room,Poor,Couple
The cleaning staff were very nice.,1.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe Twin City View Room,Not worth the value nor hype ! Very disappointed.,Family
location,0.5,Marina Bay Sands Hotel,2022,India,Deluxe King,"excellent location & pool but very expensive, small rooms & arrogant staff",Couple
"The only thing, you can say is good about the hotel is the infinity pool",1.5,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe Twin,QUAILTY - IS FAR BETTER THAN GETTING QAUNTITY IN YOUR HOTEL,Solo traveler
Staff were friendly and hotel is clean and well located,0.5,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Garden View Room,Masivley overpriced for what you get and eat breakfast somewhere else,Couple
every where,0.5,Marina Bay Sands Hotel,2022,China,Deluxe King Harbor View Room,bad bad,Couple
"Mi-au cerut 140 dolari ca sa ma cazeze mai devreme desi stiau la ce ora
ajung, la lounge unde au zis ca pot sa astept nu erea decat cafea si apa
la dozator, in camera baia erea murdara, mi-au rupt o roata la troler si
nu s-a rezolvat nimic, la micul dejun am stat la coada 25 de minute ca
sa intru in restaurant.",1.0,Pan Pacific Hotel,2020,Romania,Panoramic King or Twin Room,Foarte dezamagit.,Group
They can't take debet card and without this you can't order anything without having balace on your room number,0.5,Pan Pacific Hotel,2019,Sweden,Pacific Club Harbor Studio,bad,Family
"Very comfortable, quiet, well appointed room with fantastic bath.",1.5,Pan Pacific Hotel,2021,Singapore,Deluxe King or Twin Room,Unhappy about communication in advance of stay,Couple
Despite specifically writing to confirm that the room I booked had a bath and receiving a response to the effect of 'depends on availability at check in' I was told at check in that if I wanted a bath I need to pay an extra 25% of the cost of the room. This could have been clarified over email in advance. I would have had the free option of cancelling the booking.,1.5,Pan Pacific Hotel,2021,Singapore,Deluxe King or Twin Room,Unhappy about communication in advance of stay,Couple
breakfast,1.0,Pan Pacific Hotel,2022,Singapore,City Suite,not reasonable,Family
easy access to shopping mall,1.5,Pan Pacific Hotel,2022,Singapore,25-Hours Vacation - Deluxe King or Twin Room,😱😱😱😱,Family
Staff were friendly.,0.5,Pan Pacific Hotel,2022,Singapore,Panoramic King or Twin Room,Mehh. Service could have been better.,Couple
We waited for 3 hours for our room,1.0,Mandarin Oriental,2022,Singapore,City Suite King,Very Poor,Family
