reviews,score,hotel,date,country,room,title,travellerType
,4.5,The Fullerton Hotel,2022,South Korea,Taste the Good Life Package - Marina Bay View Room with Complimentary $200 SGD net flexible Dining Credits per stay,Wonderful,Family
,4.5,The Fullerton Hotel,2022,South Korea,Taste the Good Life Package - Marina Bay View Room with Complimentary $200 SGD net flexible Dining Credits per stay,Wonderful,Family
,4.0,The Fullerton Hotel,2021,Singapore,Taste the Good Life Package - Heritage Room with Complimentary $200 SGD net flexible Dining Credits per stay,Very Good,Family
,4.0,The Fullerton Hotel,2021,Singapore,Taste the Good Life Package - Heritage Room with Complimentary $200 SGD net flexible Dining Credits per stay,Very Good,Family
,5.0,The Fullerton Hotel,2021,Germany,Taste the Good Life Package - Heritage Room with Complimentary $200 SGD net flexible Dining Credits per stay,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Germany,Taste the Good Life Package - Heritage Room with Complimentary $200 SGD net flexible Dining Credits per stay,Exceptional,Couple
,4.5,The Fullerton Hotel,2021,Germany,Premier Courtyard Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Germany,Premier Courtyard Room,Wonderful,Couple
,4.0,The Fullerton Hotel,2021,Singapore,The Perfect Staycation Package - Marina Bay View Room with Complimentary $80 SGD Dining Credits per stay,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,The Perfect Staycation Package - Marina Bay View Room with Complimentary $80 SGD Dining Credits per stay,Very Good,Couple
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Group
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Group
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Couple
,4.4,The Fullerton Hotel,2020,Australia,,Excellent,Couple
,4.4,The Fullerton Hotel,2020,Australia,,Excellent,Couple
,5.0,The Fullerton Hotel,2020,United States of America,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,United States of America,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,Australia,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,Australia,,Exceptional,Couple
,4.8,The Fullerton Hotel,2020,Australia,,Exceptional,Family
,4.8,The Fullerton Hotel,2020,Australia,,Exceptional,Family
,4.8,The Fullerton Hotel,2020,Australia,,Exceptional,Couple
,4.8,The Fullerton Hotel,2020,Australia,,Exceptional,Couple
,4.15,The Fullerton Hotel,2020,United States of America,,Very Good,Solo traveler
,4.15,The Fullerton Hotel,2020,United States of America,,Very Good,Solo traveler
,4.6,The Fullerton Hotel,2020,Sweden,,Wonderful,Couple
,4.6,The Fullerton Hotel,2020,Sweden,,Wonderful,Couple
,5.0,The Fullerton Hotel,2019,United States of America,,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,United States of America,,Exceptional,Couple
,4.15,The Fullerton Hotel,2019,Estonia,,Very Good,Family
,4.15,The Fullerton Hotel,2019,Estonia,,Very Good,Family
,5.0,The Fullerton Hotel,2019,United Kingdom,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,United Kingdom,,Exceptional,Solo traveler
,4.0,The Fullerton Hotel,2019,Australia,,Excellent!,Family
,4.0,The Fullerton Hotel,2019,Australia,,Excellent!,Family
,4.5,The Fullerton Hotel,2019,Australia,,Wonderful experience wonderful staff!,Couple
,4.5,The Fullerton Hotel,2019,Australia,,Wonderful experience wonderful staff!,Couple
,4.6,The Fullerton Hotel,2019,United States of America,,Wonderful,Couple
,4.6,The Fullerton Hotel,2019,United States of America,,Wonderful,Couple
,5.0,The Fullerton Hotel,2019,Malaysia,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,Malaysia,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,Australia,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,Australia,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,United Kingdom,,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,United Kingdom,,Exceptional,Couple
,4.0,The Fullerton Hotel,2022,Germany,Marina Bay View Room,Very Good,Family
,4.0,The Fullerton Hotel,2022,Germany,Marina Bay View Room,Very Good,Family
,4.5,The Fullerton Hotel,2022,Thailand,Straits Club Marina Bay View Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2022,Thailand,Straits Club Marina Bay View Room,Wonderful,Couple
,4.0,The Fullerton Hotel,2022,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2022,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2022,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2022,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2022,Vietnam,,Very Good,Couple
,4.0,The Fullerton Hotel,2022,Vietnam,,Very Good,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2021,Singapore,,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2021,Thailand,,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Thailand,,Exceptional,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Stayed for 2 nights. Love the high ceiling and everything is great except the wifi is a little weak.,Couple
,4.5,The Fullerton Hotel,2020,Singapore,,Stayed for 2 nights. Love the high ceiling and everything is great except the wifi is a little weak.,Couple
,5.0,The Fullerton Hotel,2020,Indonesia,,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Indonesia,,Exceptional,Family
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Couple
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Couple
,4.5,The Fullerton Hotel,2020,Germany,,Wonderful,Couple
,4.5,The Fullerton Hotel,2020,Germany,,Wonderful,Couple
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Couple
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Couple
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Family
,4.0,The Fullerton Hotel,2020,Singapore,,Very Good,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Family
,4.5,The Fullerton Hotel,2020,Singapore,,Wonderful,Family
,4.0,The Fullerton Hotel,2020,United Kingdom,,Very Good,Solo traveler
,4.0,The Fullerton Hotel,2020,United Kingdom,,Very Good,Solo traveler
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Couple
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Couple
,4.5,The Fullerton Hotel,2020,Netherlands,,Wonderful,Couple
,4.5,The Fullerton Hotel,2020,Netherlands,,Wonderful,Couple
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,,Exceptional,Family
,4.8,The Fullerton Hotel,2019,United States of America,Quay Room,Exceptional,Couple
,4.8,The Fullerton Hotel,2019,United States of America,Quay Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,United Kingdom,Premier Courtyard Room,Everything was perfect.,Couple
,5.0,The Fullerton Hotel,2019,United Kingdom,Premier Courtyard Room,Everything was perfect.,Couple
,5.0,The Fullerton Hotel,2019,Australia,Premier Courtyard Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,Australia,Premier Courtyard Room,Exceptional,Solo traveler
,4.8,The Fullerton Hotel,2019,United States of America,Heritage Room,Exceptional,Couple
,4.8,The Fullerton Hotel,2019,United States of America,Heritage Room,Exceptional,Couple
,4.6,The Fullerton Hotel,2019,Australia,Quay Room,Wonderful,Couple
,4.6,The Fullerton Hotel,2019,Australia,Quay Room,Wonderful,Couple
,5.0,The Fullerton Hotel,2019,Australia,Premier Courtyard Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,Australia,Premier Courtyard Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,Australia,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Australia,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Singapore,Premier Courtyard Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,Singapore,Premier Courtyard Room,Exceptional,Solo traveler
,4.5,The Fullerton Hotel,2019,Australia,Heritage Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2019,Australia,Heritage Room,Wonderful,Couple
,5.0,The Fullerton Hotel,2019,Singapore,Marina Bay View King Room,Exceptional,Group
,5.0,The Fullerton Hotel,2019,Singapore,Marina Bay View King Room,Exceptional,Group
,5.0,The Fullerton Hotel,2019,Indonesia,Marina Bay View Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Indonesia,Marina Bay View Room,Exceptional,Family
,4.6,The Fullerton Hotel,2019,Australia,Premier Courtyard Room,Wonderful,Couple
,4.6,The Fullerton Hotel,2019,Australia,Premier Courtyard Room,Wonderful,Couple
,5.0,The Fullerton Hotel,2019,Singapore,Postmaster Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,Singapore,Postmaster Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,Australia,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Australia,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Australia,Heritage Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,Australia,Heritage Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,United Kingdom,Marina Bay View King Room,Exceptional,Group
,5.0,The Fullerton Hotel,2019,United Kingdom,Marina Bay View King Room,Exceptional,Group
,5.0,The Fullerton Hotel,2019,United Kingdom,Marina Bay View Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,United Kingdom,Marina Bay View Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,United Arab Emirates,Heritage Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,United Arab Emirates,Heritage Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,United Kingdom,Heritage Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,United Kingdom,Heritage Room,Exceptional,Solo traveler
,4.8,The Fullerton Hotel,2019,Australia,Quay Room,Exceptional,Couple
,4.8,The Fullerton Hotel,2019,Australia,Quay Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2019,Sweden,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Sweden,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,China,Heritage Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,China,Heritage Room,Exceptional,Solo traveler
,5.0,The Fullerton Hotel,2019,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2019,Singapore,Premier Courtyard Room,Exceptional,Family
,4.8,The Fullerton Hotel,2019,Philippines,Heritage Room,Exceptional,Group
