reviews,score,hotel,date,country,room,title,travellerType
"The hotel impresses outside and inside. Marina harbor, gardens and shopping mall are connected with the main building. Room on 17 level had a very big terrace. The 57th floor is something unforgetable",3.95,Marina Bay Sands Hotel,2020,Russia,Deluxe King Garden View Room,A crowded city in a city,Family
The looks from the outside,3.95,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Harbor View Room,Good,Couple
Too busy just like a busy shopping centre wish I had never booked it. Expected better for the cost.,3.95,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Harbor View Room,Good,Couple
It is a huge and beautiful building with many options and balcony,3.95,Marina Bay Sands Hotel,2019,Hungary,,Good,Family
La ubicacion,3.55,Marina Bay Sands Hotel,2019,Colombia,Premier Twin Garden View Room,Good,Group
Le cadre,3.35,Marina Bay Sands Hotel,2019,Switzerland,Deluxe King,Pleasant,Family
Le prix,3.35,Marina Bay Sands Hotel,2019,Switzerland,Deluxe King,Pleasant,Family
Offre agli ospiti ingresso all'Infinity Pool e allo Sky Observation Deck. Vista mozzafiato dalle stanze ai piani superiori sul Garden by the Bay,3.55,Marina Bay Sands Hotel,2019,Italy,Deluxe Twin Garden View Room,Non all'altezza della reputazione e del suo prezzo!,Couple
Wir hatten Zimmer mit Gartenblick und sind mit Zimmer uns Aussicht sehr zufrieden.,3.5,Marina Bay Sands Hotel,2019,Germany,Deluxe King Garden View Room,Good,Couple
Bedingung und Personal entspricht nicht 5 Sterne Hotel.,3.5,Marina Bay Sands Hotel,2019,Germany,Deluxe King Garden View Room,Good,Couple
Coctails at spago,3.35,Marina Bay Sands Hotel,2019,Netherlands,Special Offer - Deluxe King Harbor View Room,Pool was overrated,Couple
Zoveel faciliteiten en tegelijk niet zoveel.,3.35,Marina Bay Sands Hotel,2019,Netherlands,Special Offer - Deluxe King Harbor View Room,Pool was overrated,Couple
A agua do Jaquzi estava muitoooooo Quente. Dava para cozer Batatas,3.0,Marina Bay Sands Hotel,2020,Switzerland,,Pleasant,Group
"Te druk, te vol en zeer lange wachttijden bij de liften",3.5,Marina Bay Sands Hotel,2020,Netherlands,,Good,Couple
Super emplacement mais le paye cher,3.1,Marina Bay Sands Hotel,2020,Thailand,,Pleasant,Couple
"Piacina,viewul",3.5,Marina Bay Sands Hotel,2020,Romania,Premier Twin City View Room (3 People),Good,Couple
"Totul invechit in camera,prea putin loc la piscina",3.5,Marina Bay Sands Hotel,2020,Romania,Premier Twin City View Room (3 People),Good,Couple
"For lidt liggestole.
Mega langsom ved check in ( ca. 10 min)",3.0,Marina Bay Sands Hotel,2020,Denmark,Deluxe Twin,Pleasant,Family
Locatie is subliem,3.1,Marina Bay Sands Hotel,2019,Belgium,Premier King Harbor View Room (3 People),Tegenvaller....,Family
"Had het idee dat personeel onder druk stond. Zijn wel in Singapore maar na kort vriendelijk contact erg zakelijk, langzaam. Ging meer om factuur en administratie kloppend te krijgen dan om gast.",3.1,Marina Bay Sands Hotel,2019,Belgium,Premier King Harbor View Room (3 People),Tegenvaller....,Family
