reviews,score,hotel,date,country,room,title,travellerType
Las vistas,2.9,Marina Bay Sands Hotel,2019,Spain,Deluxe King Sky View,Sobrevalorado pero impresiona,Solo traveler
El precio,2.9,Marina Bay Sands Hotel,2019,Spain,Deluxe King Sky View,Sobrevalorado pero impresiona,Solo traveler
Happy,2.5,Marina Bay Sands Hotel,2019,Thailand,Deluxe Twin Room - Lower Floor (3 People),Fair,Family
Il prezzo di questo,2.7,Marina Bay Sands Hotel,2019,Italy,,Fair,Couple
Es geht so,2.5,Marina Bay Sands Hotel,2019,Switzerland,Premier King City View Room,Fair,Couple
Wie man als Gast behandelt wird!!,2.5,Marina Bay Sands Hotel,2019,Switzerland,Premier King City View Room,Fair,Couple
"Opfer seines Erfolges .. viel zu voll dort , wo alle sein wollen - am Pool - muss man halt in Kauf nehmen",2.5,Marina Bay Sands Hotel,2020,Germany,Deluxe King Garden View Room,Fair,Couple
Gute Lage und Aussicht,2.7,Marina Bay Sands Hotel,2020,Germany,Deluxe Twin,Unfriendly,Couple
"Unfreundliches Personal
Massenabfertigung
Zu teuer fur das was geboten wurde",2.7,Marina Bay Sands Hotel,2020,Germany,Deluxe Twin,Unfriendly,Couple
NN,2.5,Marina Bay Sands Hotel,2022,Germany,Deluxe King Harbor View Room,Fair,Couple
"Sauber, hoher Komfort.",2.0,Marina Bay Sands Hotel,2020,Germany,Deluxe King,Viel zu teuer. Falsche Preisangaben. Bei Stornierung kein Geld zurück.,Solo traveler
Viel zu teuer. Viel zu viele Besucher im Poolbereich. Keine Entspannung.,2.0,Marina Bay Sands Hotel,2020,Germany,Deluxe King,Viel zu teuer. Falsche Preisangaben. Bei Stornierung kein Geld zurück.,Solo traveler
The location was nice.,2.9,Marina Bay Sands Hotel,2019,Australia,,For the crazy rich.,Family
Convenient.,2.5,Marina Bay Sands Hotel,2021,Singapore,,An ok experience,Couple
Pool was fully booked for 4 nights even upon check in,2.5,Marina Bay Sands Hotel,2021,Singapore,,An ok experience,Couple
The infinity pool and the view from the room. Hotel Infrastructure is good.,2.0,Marina Bay Sands Hotel,2019,India,Premier King City View Room,Disappointed with the hospitality :(,Family
The location,2.5,Marina Bay Sands Hotel,2019,Australia,Deluxe King Harbor View Room,Very disappointed with the service.Access cards stopped working 4 times during stay,Group
Good,2.5,Marina Bay Sands Hotel,2019,Myanmar,Premier King,Good,Family
The pool was cool the rest of it is hugely average and there are way nice hotels to stay in in the city!,2.5,Marina Bay Sands Hotel,2019,United Kingdom,Premier Twin,Fair,Group
The staff ... disengaged and took ages to get anything,2.5,Marina Bay Sands Hotel,2019,United Kingdom,Premier Twin,Fair,Group
Location,2.9,Marina Bay Sands Hotel,2019,New Zealand,Deluxe King,Okay,Solo traveler
customer service,2.9,Marina Bay Sands Hotel,2019,New Zealand,Deluxe King,Okay,Solo traveler
"Outstanding service, support and guidance from Mr Sherwin at the Bell Desk. Well done, mate - but choose a better hotel to work in.",2.1,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Harbor View Room,Far inferior to Goodwood Park or Fullerton.,Solo traveler
Clean,2.9,Marina Bay Sands Hotel,2019,South Africa,Deluxe Twin,Okay,Family
